Year,Month,tagName,Question
"","","c#","34"
"","","c","21"
"","","java","59"
"","","php","25"
"","","javascript","98"
"","","c++","33"
"","","go","5"
"","","python","151"
"2008","12","python","440"
"2008","12","c++","632"
"2008","12","java","830"
"2008","12","javascript","626"
"2008","12","php","480"
"2008","12","c","189"
"2008","12","c#","1595"
"2008","11","python","452"
"2008","11","java","958"
"2008","11","c#","1733"
"2008","11","c","259"
"2008","11","php","503"
"2008","11","c++","734"
"2008","11","javascript","579"
"2008","10","python","510"
"2008","10","java","1154"
"2008","10","c++","810"
"2008","10","php","615"
"2008","10","javascript","726"
"2008","10","c#","1990"
"2008","10","c","303"
"2008","9","python","540"
"2008","9","c","320"
"2008","9","c#","1648"
"2008","9","javascript","639"
"2008","9","php","480"
"2008","9","java","1136"
"2008","9","c++","754"
"2008","8","c#","507"
"2008","8","c","83"
"2008","8","java","222"
"2008","8","php","160"
"2008","8","javascript","163"
"2008","8","c++","163"
"2008","8","python","122"
"2008","7","c#","3"
"2009","12","c++","1653"
"2009","12","java","2686"
"2009","12","javascript","2305"
"2009","12","php","2827"
"2009","12","python","1589"
"2009","12","go","11"
"2009","12","c","850"
"2009","12","c#","4486"
"2009","11","java","2760"
"2009","11","javascript","2228"
"2009","11","php","2688"
"2009","11","c++","1751"
"2009","11","python","1556"
"2009","11","c","959"
"2009","11","go","65"
"2009","11","c#","4679"
"2009","10","php","2360"
"2009","10","c++","1686"
"2009","10","java","2505"
"2009","10","python","1421"
"2009","10","c","775"
"2009","10","javascript","2044"
"2009","10","c#","4724"
"2009","9","python","1166"
"2009","9","java","2262"
"2009","9","c++","1463"
"2009","9","c#","4351"
"2009","9","c","574"
"2009","9","javascript","1755"
"2009","9","php","2265"
"2009","8","java","2190"
"2009","8","python","1138"
"2009","8","c#","4456"
"2009","8","c","530"
"2009","8","c++","1400"
"2009","8","php","2186"
"2009","8","javascript","1857"
"2009","7","c","540"
"2009","7","python","1160"
"2009","7","java","2258"
"2009","7","c++","1465"
"2009","7","php","2028"
"2009","7","javascript","1752"
"2009","7","c#","4407"
"2009","6","c","502"
"2009","6","python","1043"
"2009","6","javascript","1557"
"2009","6","c++","1252"
"2009","6","php","1578"
"2009","6","c#","3880"
"2009","6","java","2113"
"2009","5","java","1816"
"2009","5","c#","3554"
"2009","5","c","480"
"2009","5","python","999"
"2009","5","c++","1216"
"2009","5","php","1178"
"2009","5","javascript","1432"
"2009","4","python","767"
"2009","4","c","457"
"2009","4","javascript","1050"
"2009","4","php","963"
"2009","4","java","1533"
"2009","4","c#","3313"
"2009","4","c++","1018"
"2009","3","python","764"
"2009","3","c","431"
"2009","3","c#","3163"
"2009","3","c++","1052"
"2009","3","php","902"
"2009","3","java","1438"
"2009","3","javascript","1006"
"2009","2","python","629"
"2009","2","c#","2599"
"2009","2","c","332"
"2009","2","php","766"
"2009","2","javascript","948"
"2009","2","c++","843"
"2009","2","java","1208"
"2009","1","c#","2378"
"2009","1","c++","852"
"2009","1","java","1150"
"2009","1","javascript","792"
"2009","1","c","321"
"2009","1","python","631"
"2009","1","php","635"
"2010","12","java","5678"
"2010","12","python","2483"
"2010","12","go","18"
"2010","12","c#","7111"
"2010","12","c++","3137"
"2010","12","javascript","4951"
"2010","12","php","5394"
"2010","12","c","1469"
"2010","11","c","1676"
"2010","11","python","2606"
"2010","11","go","16"
"2010","11","c#","7317"
"2010","11","java","5599"
"2010","11","php","5113"
"2010","11","javascript","4549"
"2010","11","c++","3375"
"2010","10","python","2673"
"2010","10","c","1443"
"2010","10","go","13"
"2010","10","php","4517"
"2010","10","java","5027"
"2010","10","javascript","4113"
"2010","10","c#","6740"
"2010","10","c++","2934"
"2010","9","c#","6406"
"2010","9","go","9"
"2010","9","python","2249"
"2010","9","php","4697"
"2010","9","c++","2738"
"2010","9","javascript","3995"
"2010","9","java","4718"
"2010","9","c","1377"
"2010","8","java","4707"
"2010","8","python","2492"
"2010","8","go","13"
"2010","8","c#","6965"
"2010","8","c","1365"
"2010","8","c++","2638"
"2010","8","javascript","4001"
"2010","8","php","5142"
"2010","7","javascript","3877"
"2010","7","python","2595"
"2010","7","c","1287"
"2010","7","php","4603"
"2010","7","java","4517"
"2010","7","go","8"
"2010","7","c++","2686"
"2010","7","c#","6683"
"2010","6","python","2206"
"2010","6","c#","6147"
"2010","6","c","1155"
"2010","6","php","4092"
"2010","6","javascript","3469"
"2010","6","c++","2825"
"2010","6","java","4284"
"2010","6","go","15"
"2010","5","c","1181"
"2010","5","javascript","3231"
"2010","5","python","2008"
"2010","5","php","3993"
"2010","5","c#","5932"
"2010","5","java","4171"
"2010","5","go","17"
"2010","5","c++","2421"
"2010","4","go","10"
"2010","4","php","3647"
"2010","4","c#","5781"
"2010","4","javascript","3005"
"2010","4","java","3888"
"2010","4","c++","2490"
"2010","4","c","1183"
"2010","4","python","1814"
"2010","3","c++","2435"
"2010","3","c#","6034"
"2010","3","go","8"
"2010","3","c","1114"
"2010","3","javascript","2987"
"2010","3","java","4444"
"2010","3","python","2073"
"2010","3","php","3749"
"2010","2","c","1034"
"2010","2","php","3166"
"2010","2","java","3576"
"2010","2","c++","2277"
"2010","2","javascript","2639"
"2010","2","python","1862"
"2010","2","go","7"
"2010","2","c#","5099"
"2010","1","php","3435"
"2010","1","java","3727"
"2010","1","go","15"
"2010","1","c++","2000"
"2010","1","c#","5111"
"2010","1","c","981"
"2010","1","python","1946"
"2010","1","javascript","2622"
"2011","12","c","2005"
"2011","12","c#","9324"
"2011","12","go","52"
"2011","12","python","3624"
"2011","12","c++","4363"
"2011","12","java","9216"
"2011","12","javascript","8348"
"2011","12","php","8357"
"2011","11","javascript","8693"
"2011","11","c#","9916"
"2011","11","java","9657"
"2011","11","python","3876"
"2011","11","go","66"
"2011","11","c","2198"
"2011","11","c++","4485"
"2011","11","php","8711"
"2011","10","javascript","8041"
"2011","10","c","2139"
"2011","10","python","3625"
"2011","10","c++","4356"
"2011","10","c#","9229"
"2011","10","php","8089"
"2011","10","java","8568"
"2011","10","go","40"
"2011","9","c++","3947"
